Game,Date,Price,Tritz,Elliott,Erick,Joe,Harsh,Mark,Bijan
1,41780,7,4,,,,,,
2,41780,6,3,,,,,,
3,41780,6,4,,,,,,
4,41780,,3,5,,,,,
5,41780,5,,4,,,,,
6,41780,4,3,,,,,,
7,41780,9,8,,,,,,
8,41781,,3,6,,,,,
9,41781,5,,6,,,,,
10,41781,2,,5,,,,,
11,41781,,3,5,,,,,
12,41781,8,5,,,,,,
13,41781,4,,11,,,,,
14,41781,,5,4,,,,,
15,41781,5,8,,,,,,
16,41781,10,9,,,,,,
17,41781,7,10,,,,,,
18,41782,,2,3,,,,,
19,41782,,5,6,,,,,
20,41782,,6,4,,,,,
21,41782,,6,3,,,,,
22,41782,,7,3,,,,,
23,41782,,8,4,,,,,
24,41782,,3,2,,,,,
25,41786,,2,5,,,,,
26,41786,,7,2,,,,,
27,41786,,6,5,,,,,
28,41786,3,,17,,,,,
29,41787,9,5,,,,,,
30,41787,3,4,,,,,,
31,41787,3,7,,,,,,
32,41787,6,,4,,,,,
33,41787,2,,3,,,,,
34,41787,1,,6,,,,,
35,41787,,2,7,,,,,
36,41787,,1,3,,,,,
37,41788,,7,,,,,,5
38,41788,8,7,,,,,,
39,41788,11,,,,,,,3
40,41788,9,,5,,,,,
41,41788,2,6,,,,,,
42,41788,,5,7,,,,,
43,41788,4,,3,,,,,
44,41788,,0,4,,,,,
45,41788,5,7,,,,,,
46,41792,,3,6,,,,,
47,41792,3,4,,,,,,
48,41792,6,,1,,,,,
49,41792,4,,5,,,,,
50,41792,,4,3,,,,,
51,41792,7,5,,,,,,
52,41793,2,3,,,,,,
53,41793,3,,4,,,,,
54,41793,,5,4,,,,,
55,41793,7,,,,,,,4
56,41793,8,,3,,,,,
57,41793,,,7,,,,,5
58,41793,,6,5,,,,,
59,41793,3,4,,,,,,
60,41794,8,7,,,,,,
61,41794,6,4,,,,,,
62,41794,7,5,,,,,,
63,41794,,9,,,,,,2
64,41794,,2,6,,,,,
65,41794,2,,7,,,,,
66,41795,8,,4,,,,,
67,41795,5,6,,,,,,
68,41795,,4,7,,,,,
69,41795,,5,6,,,,,
70,41795,6,,,,,,,3
71,41795,5,,6,,,,,
72,41795,,6,,,,,,5
73,41795,,,4,,,,,6
74,41799,,5,,6,,,,
75,41799,,9,,,,,,0
76,41799,6,,,4,,,,
77,41799,4,5,,,,,,
78,41799,2,,6,,,,,
79,41799,4,5,,,,,,
80,41799,,6,2,,,,,
81,41799,,5,8,,,,,
82,41799,3,,5,,,,,
83,41799,4,5,,,,,,
84,41800,4,7,,,,,,
85,41800,,,2,,,,,4
86,41800,3,,4,,,,,
87,41800,,6,,,,,,0
88,41800,6,,,,,,,5
89,41800,,5,6,,,,,
90,41801,,7,2,,,,,
91,41801,,3,4,,,,,
92,41801,,8,3,,,,,
93,41802,,1,4,,,,,
94,41802,,,,5,,,,4
95,41802,,,4,6,,,,
96,41802,,8,,,,,,6
97,41802,,11,,6,,,,
98,41802,,,8,,,,,5
99,41803,,4,,,,,,2
100,41803,,,7,,,,,1
101,41803,,6,4,,,,,
102,41807,5,,3,,,,,
103,41807,7,8,,,,,,
104,41807,,2,6,,,,,
105,41807,,,9,,,,,1
106,41807,5,3,,,,,,
107,41807,5,,3,,,,,
108,41807,,12,,,,,,2
109,41807,6,,,,,,,4
110,41807,,6,4,,,,,
111,41809,2,3,,,,,,
112,41809,4,,3,,,,,
113,41809,,3,9,,,,,
114,41809,,,,4,,,,5
115,41809,6,4,,,,,,
116,41809,7,5,,,,,,
117,41809,1,10,,,,,,
118,41809,8,4,,,,,,
119,41809,,,,7,,,,6
120,41810,,5,3,,,,,
121,41810,,4,3,,,,,
122,41810,,5,3,,,,,
123,41810,5,,6,,,,,
124,41810,6,8,,,,,,
125,41810,,6,5,,,,,
126,41810,2,,3,,,,,
127,41813,,8,,4,,,,
128,41813,4,,,1,,,,
129,41813,,8,,,,,,4
130,41813,0,4,,,,,,
131,41813,,,,6,,,,10
132,41813,11,,,,,,,6
133,41813,1,5,,,,,,
134,41813,6,4,,,,,,
135,41813,5,3,,,,,,
136,41814,6,5,,,,,,
137,41814,,7,,,,,,4
138,41814,3,,,,,,,4
139,41814,,10,,1,,,,
140,41814,,,,5,,,,4
141,41814,10,,,0,,,,
