Game,Date,Price,Tritz,Elliott
1,41780,7,4,
2,41780,6,3,
3,41780,6,4,
4,41780,,3,5
5,41780,5,,4
6,41780,4,3,
7,41780,9,8,
8,41781,,3,6
9,41781,5,,6
10,41781,2,,5
11,41781,,3,5
12,41781,8,5,
13,41781,4,,11
14,41781,,5,4
15,41781,5,8,
16,41781,10,9,
17,41781,7,10,
18,41782,,2,3
19,41782,,5,6
20,41782,,6,4
21,41782,,6,3
22,41782,,7,3
23,41782,,8,4
24,41782,,3,2
25,41786,,2,5
26,41786,,7,2
27,41786,,6,5
28,41786,3,,17
29,41787,9,5,
30,41787,3,4,
31,41787,3,7,
32,41787,6,,4
33,41787,2,,3
34,41787,1,,6
35,41787,,2,7
36,41787,,1,3
37,41788,8,7,
38,41788,9,,5
39,41788,2,6,
40,41788,,5,7
41,41788,4,,3
42,41788,,0,4
43,41788,5,7,
44,41792,,3,6
45,41792,3,4,
46,41792,6,,1
47,41792,4,,5
48,41792,,4,3
49,41792,7,5,
50,41793,2,3,
51,41793,3,,4
52,41793,,5,4
53,41793,8,,3
54,41793,,6,5
55,41793,3,4,
56,41794,8,7,
57,41794,6,4,
58,41794,7,5,
59,41794,,2,6
60,41794,2,,7
61,41795,8,,4
62,41795,5,6,
63,41795,,4,7
64,41795,,5,6
65,41795,5,,6
66,41799,4,5,
67,41799,2,,6
68,41799,4,5,
69,41799,,6,2
70,41799,,5,8
71,41799,3,,5
72,41799,4,5,
73,41800,4,7,
74,41800,3,,4
75,41800,,5,6
76,41801,,7,2
77,41801,,3,4
78,41801,,8,3
79,41802,,1,4
80,41803,,6,4
81,41807,5,,3
82,41807,7,8,
83,41807,,2,6
84,41807,5,3,
85,41807,5,,3
86,41807,,6,4
87,41809,2,3,
88,41809,4,,3
89,41809,,3,9
90,41809,6,4,
91,41809,7,5,
92,41809,1,10,
93,41809,8,4,
94,41810,,5,3
95,41810,,4,3
96,41810,,5,3
97,41810,5,,6
98,41810,6,8,
99,41810,,6,5
100,41810,2,,3
101,41813,0,4,
102,41813,1,5,
103,41813,6,4,
104,41813,5,3,
105,41814,6,5,
106,41814,3,2,
107,41814,6,,5
108,41814,,5,4
109,41816,4,,7
110,41816,3,,7
111,41821,6,,4
112,41821,3,,6
113,41821,4,,7
114,41821,,5,2
115,41821,,4,3
116,41822,,7,2
117,41822,,4,1
118,41823,,5,4
119,41823,7,,8
120,41823,7,2,
121,41823,,6,1
122,41823,3,7,
123,41828,,3,5
124,41831,,7,0
125,41831,,4,5
126,41834,5,7,
127,41835,,4,7
128,41835,6,,5
129,41835,5,6,
130,41836,,7,6
131,41836,8,,1
132,41836,7,1,
133,41837,4,,5
134,41837,8,,5
135,41837,8,,4
136,41843,4,8,
137,41843,,4,5
138,41845,4,,8
139,41848,6,,7
140,41848,5,,6
141,41849,7,,3
142,41849,7,,9
143,41852,,4,5
144,41852,,7,1
145,41852,,7,4
146,41852,,6,2
147,41852,,10,6
148,41852,8,,5
149,41852,4,9,
150,41852,1,7,
151,41852,2,7,
152,41852,3,5,
153,41859,3,,4
154,41859,8,,2
155,41859,4,,8
156,41863,4,5,
157,41864,5,6,
158,41864,3,2,
159,41865,2,3,
160,41865,4,5,
161,41865,4,5,
162,41865,3,8,
163,41865,2,8,
164,41869,5,7,
165,41869,3,4,
166,41869,7,4,
167,41869,2,5,
168,41872,3,10,
169,41872,8,2,
170,41872,6,5,
171,41873,4,,6
172,41884,,8,5
173,41884,6,,8
174,41884,8,4,
175,41891,3,6,
176,41891,4,11,
177,41891,4,8,
178,41892,6,,8
179,41892,,7,3
180,41892,7,6,
181,41899,7,4,
182,41899,4,,2
183,41899,,7,3
184,41899,2,8,
185,41901,6,,9
186,41901,,5,6
187,41901,8,7,
188,41901,3,,4
189,41901,,10,1
190,41901,5,11,
191,41908,7,5,
192,41908,4,10,
193,41908,2,7,
194,41913,7,,8
195,41913,8,,5
196,41913,4,,7
197,41913,3,6,
198,41913,7,8,
199,41913,4,3,
200,41918,2,,4
201,41918,6,,8
202,41918,4,,7
203,41920,6,5,
204,41920,4,6,
205,41920,8,11,
206,41927,,4,6
207,41927,,6,4
208,41927,,6,4
209,41937,2,,6
210,41937,4,,9
211,41941,,7,6
212,41941,7,,3
213,41941,1,11,
