1,"41,781",7,4,
2,"41,781",6,3,
3,"41,781",6,4,
4,"41,781",,3,5
5,"41,781",5,,4
6,"41,781",4,3,
7,"41,781",9,8,
8,"41,782",,3,6
9,"41,782",5,,6
10,"41,782",2,,5
11,"41,782",,3,5
12,"41,782",8,5,
13,"41,782",4,,11
14,"41,782",,5,4
15,"41,782",5,8,
16,"41,782",10,9,
17,"41,782",7,10,
18,"41,783",,2,3
19,"41,783",,5,6
20,"41,783",,6,4
21,"41,783",,6,3
22,"41,783",,7,3
23,"41,783",,8,4
24,"41,783",,3,2
25,"41,787",,2,5
26,"41,787",,7,2
27,"41,787",,6,5
28,"41,787",3,,17
29,"41,788",9,5,
30,"41,788",3,4,
31,"41,788",3,7,
32,"41,788",6,,4
33,"41,788",2,,3
34,"41,788",1,,6
35,"41,788",,2,7
36,"41,788",,1,3
37,"41,789",8,7,
38,"41,789",9,,5
39,"41,789",2,6,
40,"41,789",,5,7
41,"41,789",4,,3
42,"41,789",,0,4
43,"41,789",5,7,
44,"41,793",,3,6
45,"41,793",3,4,
46,"41,793",6,,1
47,"41,793",4,,5
48,"41,793",,4,3
49,"41,793",7,5,
50,"41,794",2,3,
51,"41,794",3,,4
52,"41,794",,5,4
53,"41,794",8,,3
54,"41,794",,6,5
55,"41,794",3,4,
56,"41,795",8,7,
57,"41,795",6,4,
58,"41,795",7,5,
59,"41,795",,2,6
60,"41,795",2,,7
61,"41,796",8,,4
62,"41,796",5,6,
63,"41,796",,4,7
64,"41,796",,5,6
65,"41,796",5,,6
66,"41,800",4,5,
67,"41,800",2,,6
68,"41,800",4,5,
69,"41,800",,6,2
70,"41,800",,5,8
71,"41,800",3,,5
72,"41,800",4,5,
73,"41,801",4,7,
74,"41,801",3,,4
75,"41,801",,5,6
76,"41,802",,7,2
77,"41,802",,3,4
78,"41,802",,8,3
79,"41,803",,1,4
80,"41,804",,6,4
81,"41,808",5,,3
82,"41,808",7,8,
83,"41,808",,2,6
84,"41,808",5,3,
85,"41,808",5,,3
86,"41,808",,6,4
87,"41,810",2,3,
88,"41,810",4,,3
89,"41,810",,3,9
90,"41,810",6,4,
91,"41,810",7,5,
92,"41,810",1,10,
93,"41,810",8,4,
94,"41,811",,5,3
95,"41,811",,4,3
96,"41,811",,5,3
97,"41,811",5,,6
98,"41,811",6,8,
99,"41,811",,6,5
100,"41,811",2,,3
101,"41,814",0,4,
102,"41,814",1,5,
103,"41,814",6,4,
104,"41,814",5,3,
105,"41,815",6,5,
106,"41,815",3,2,
107,"41,815",6,,5
108,"41,815",,5,4
109,"41,817",4,,7
110,"41,817",3,,7
111,"41,822",6,,4
112,"41,822",3,,6
113,"41,822",4,,7
114,"41,822",,5,2
115,"41,822",,4,3
116,"41,823",,7,2
117,"41,823",,4,1
118,"41,824",,5,4
119,"41,824",7,,8
120,"41,824",7,2,
121,"41,824",,6,1
122,"41,824",3,7,
123,"41,829",,3,5
124,"41,832",,7,0
125,"41,832",,4,5
126,"41,835",5,7,
127,"41,836",,4,7
128,"41,836",6,,5
129,"41,836",5,6,
130,"41,837",,7,6
131,"41,837",8,,1
132,"41,837",7,1,
133,"41,838",4,,5
134,"41,838",8,,5
135,"41,838",8,,4
136,"41,844",4,8,
137,"41,844",,4,5
138,"41,846",4,,8
139,"41,849",6,,7
140,"41,849",5,,6
141,"41,850",7,,3
142,"41,850",7,,9
143,"41,853",,4,5
144,"41,853",,7,1
145,"41,853",,7,4
146,"41,853",,6,2
147,"41,853",,10,6
148,"41,853",8,,5
149,"41,853",4,9,
150,"41,853",1,7,
151,"41,853",2,7,
152,"41,853",3,5,
153,"41,860",3,,4
154,"41,860",8,,2
155,"41,860",4,,8
156,"41,864",4,5,
157,"41,865",5,6,
158,"41,865",3,2,
159,"41,866",2,3,
160,"41,866",4,5,
161,"41,866",4,5,
162,"41,866",3,8,
163,"41,866",2,8,
164,"41,870",5,7,
165,"41,870",3,4,
166,"41,870",7,4,
167,"41,870",2,5,
168,"41,873",3,10,
169,"41,873",8,2,
170,"41,873",6,5,
171,"41,874",4,,6
172,"41,885",,8,5
173,"41,885",6,,8
174,"41,885",8,4,
175,"41,892",3,6,
176,"41,892",4,11,
177,"41,892",4,8,
178,"41,893",6,,8
179,"41,893",,7,3
180,"41,893",7,6,
181,"41,900",7,4,
182,"41,900",4,,2
183,"41,900",,7,3
184,"41,900",2,8,
185,"41,902",6,,9
186,"41,902",,5,6
187,"41,902",8,7,
188,"41,902",3,,4
189,"41,902",,10,1
190,"41,902",5,11,
191,"41,909",7,5,
192,"41,909",4,10,
193,"41,909",2,7,
194,"41,914",7,,8
195,"41,914",8,,5
196,"41,914",4,,7
197,"41,914",3,6,
198,"41,914",7,8,
199,"41,914",4,3,
200,"41,919",2,,4
201,"41,919",6,,8
202,"41,919",4,,7
203,"41,921",6,5,
204,"41,921",4,6,
205,"41,921",8,11,
206,"41,928",,4,6
207,"41,928",,6,4
208,"41,928",,6,4
209,"41,938",2,,6
210,"41,938",4,,9
211,"41,942",,7,6
212,"41,942",7,,3
213,"41,942",1,11,
214,"41,944",4,5,
215,"41,944",7,,5
216,"41,944",,6,1
217,"41,949",,7,6
218,"41,949",,3,4
219,"41,949",,7,3
220,"41,950",,8,2
221,"41,950",,7,2
222,"41,950",,3,6
223,"41,956",1,8,
224,"41,956",5,4,
225,"41,956",4,5,
226,"41,963",,5,4
227,"41,963",3,4,
228,"41,963",2,,5
229,"41,965",7,4,
230,"41,965",3,,5
231,"41,965",,5,4
232,"42,020",4,,6
233,"42,020",4,,6
234,"42,020",4,,6
235,"42,026",,5,3
236,"42,026",,8,3
237,"42,026",,9,4
238,"42,035",5,7,
239,"42,035",5,,6
240,"42,035",,3,8
241,"42,110",,9,8
242,"42,110",,3,7
243,"42,110",,7,4
244,"42,137",5,9,
245,"42,137",6,5,
246,"42,137",7,8,
247,"42,139",3,7,
248,"42,139",4,5,
249,"42,139",5,6,
250,"42,146",,6,4
251,"42,146",5,6,
252,"42,146",4,,9
253,"42,151",7,,5
254,"42,151",,4,10
255,"42,151",5,4,
256,"42,152",8,5,
257,"42,152",,7,3
258,"42,152",4,,6
259,"42,153",0,,7
260,"42,153",5,6,
261,"42,153",4,11,
262,"42,157",4,,3
263,"42,157",4,10,
264,"42,157",,8,3
265,"42,158",,6,4
266,"42,158",,8,3
267,"42,158",,7,1
268,"42,159",8,,6
269,"42,159",4,5,
270,"42,159",,5,1
271,"42,160",6,,7
272,"42,160",,5,4
273,"42,160",6,13,
274,"42,161",10,5,
275,"42,161",3,8,
276,"42,161",1,9,
277,"42,164",7,5,
278,"42,164",3,10,
279,"42,164",3,6,
280,"42,164",8,5,
281,"42,164",8,7,
282,"42,164",7,8,
283,"42,164",4,7,
284,"42,164",3,4,
285,"42,173",8,5,
286,"42,173",3,4,
287,"42,173",6,1,
288,"42,175",1,10,
289,"42,175",8,7,
290,"42,175",2,9,
291,"42,178",5,6,
292,"42,178",3,7,
293,"42,178",3,6,
294,"42,181",,9,2
295,"42,181",,7,5
296,"42,181",,10,3
297,"42,185",3,,9
298,"42,185",,3,1
299,"42,185",4,5,
300,"42,187",5,,4
301,"42,187",,13,1
302,"42,187",3,4,
303,"42,188",7,,6
304,"42,188",7,5,
305,"42,188",,10,4
306,"42,188",8,5,
307,"42,188",8,2,
308,"42,188",9,6,
309,"42,192",,5,4
310,"42,192",6,7,
311,"42,192",6,,4
312,"42,193",5,,6
313,"42,193",3,,5
314,"42,193",3,,4
315,"42,194",9,,8
316,"42,194",1,9,
317,"42,194",,3,7
318,"42,195",7,5,
319,"42,195",7,,4
320,"42,195",,12,2
321,"42,196",,5,7
322,"42,196",6,,7
323,"42,196",3,4,
324,"42,200",1,7,
325,"42,200",,7,2
326,"42,200",4,,5
327,"42,201",2,,6
328,"42,201",6,13,
329,"42,201",,3,7
330,"42,202",3,4,
331,"42,202",,6,4
332,"42,202",3,,12
333,"42,206",3,,12
334,"42,206",,6,5
335,"42,206",3,9,
336,"42,207",4,,2
337,"42,207",2,5,
338,"42,207",,2,5
339,"42,209",3,5,
340,"42,209",,6,2
